link,cpu,ram,hdd,ssd,graphic_ram,screen_size,stock_status,price
https://api.torob.com/v4/base-product/details-log-click/?prk=303a341e-e9c9-47f8-b6d7-1a0fe1405983,Core i7,8 gb,,512 gb,unified,15.6 inch,new,30150000
https://api.torob.com/v4/base-product/details-log-click/?prk=824e92cd-77b8-4fc4-9257-dd87134e1f01,M1,16 gb,,512 gb,unified,16 inch,new,92000000
https://api.torob.com/v4/base-product/details-log-click/?prk=67025998-d60a-40be-98e6-bf547e11ce35,M1,16 gb,,512 gb,unified,14 inch,new,87000000
https://api.torob.com/v4/base-product/details-log-click/?prk=aaf73906-503e-47ee-9b64-555a267e9de8,Core i5,16 gb,,1 tb,4 gb,15.6 inch,new,38799000
https://api.torob.com/v4/base-product/details-log-click/?prk=ee853774-4671-448c-a14e-a50f7de40b60,M2,8 gb,,256 gb,unified,13.6 inch,new,56400000
https://api.torob.com/v4/base-product/details-log-click/?prk=349a21ac-2850-4e3e-a7d9-3c64bc5fc82f,Core i7,16 gb,,512 gb,6 gb,16.1 inch,new,37200000
https://api.torob.com/v4/base-product/details-log-click/?prk=cf34eb85-34f2-4e45-8acf-5c292247cf19,Ryzen 3,8 gb,1 tb,,2 gb,15.6 inch,new,19700000
https://api.torob.com/v4/base-product/details-log-click/?prk=774b7028-3fbc-4f9d-9e30-063bfb7c67b6,Core i5,8 gb,,512 gb,unified,15.6 inch,new,22999000
https://api.torob.com/v4/base-product/details-log-click/?prk=3b9adef8-8dc2-4e04-99d5-5c79d0543c40,Core i7,16 gb,,1 tb,8 gb,15.6 inch,new,100000
https://api.torob.com/v4/base-product/details-log-click/?prk=d7555bb9-81d5-40d2-bdb1-8bce98b15138,Ryzen 7,16 gb,,1 tb,4 gb,15.6 inch,new,48479000
https://api.torob.com/v4/base-product/details-log-click/?prk=650beaf2-d046-49d2-8416-f1992253bcb4,Core i7,16 gb,,512 gb,4 gb,15.6 inch,new,49980000
https://api.torob.com/v4/base-product/details-log-click/?prk=362e6071-43fa-4efb-92e9-612083b5285b,Core i7,16 gb,,512 gb,2 gb,15.6 inch,new,32300000
https://api.torob.com/v4/base-product/details-log-click/?prk=897c0766-c947-450f-ba3c-cf5f0b3d4058,Core i7,16 gb,,512 gb,6 gb,15 inch,new,40500000
https://api.torob.com/v4/base-product/details-log-click/?prk=c285ac42-95a0-4cf2-abb5-403746646d33,Core i5,8 gb,,512 gb,2 gb,15.6 inch,new,23088820
https://api.torob.com/v4/base-product/details-log-click/?prk=5339d1f6-9f10-491e-a6e7-0c2d8be92410,M2,8 gb,,512 gb,unified,13.3 inch,new,70500000
https://api.torob.com/v4/base-product/details-log-click/?prk=b62e83da-19b6-4026-ad28-7c8372920c34,Celeron,4 gb,,128 gb,unified,11 inch,new,9890000
https://api.torob.com/v4/base-product/details-log-click/?prk=f194966b-95f1-4c60-a08d-a56cdede79e9,Core i5,16 gb,,512 gb,4 gb,15.6 inch,new,37399000
https://api.torob.com/v4/base-product/details-log-click/?prk=523373bc-d3b4-4a55-89a4-a6b398dee922,Core i3,8 gb,1 tb,256 gb,unified,15.6 inch,new,14579000
https://api.torob.com/v4/base-product/details-log-click/?prk=cf904f55-2ad6-4d95-9590-728651cdf7df,M1,8 gb,,256 gb,unified,13 inch,new,43599000
https://api.torob.com/v4/base-product/details-log-click/?prk=5da5f837-86f6-4f5d-8b33-89cfee3ef046,Core i7,16 gb,512 gb,512 gb,,,stock,26500000
https://api.torob.com/v4/base-product/details-log-click/?prk=05a72a8e-8a99-4dd5-9afa-0167a09fb7d8,Core i5,8 gb,,256 gb,unified,12 inch,stock,12900000
https://api.torob.com/v4/base-product/details-log-click/?prk=f3900240-cea3-4aa3-8154-65c972212270,Celeron,4 gb,1 tb,256 gb,unified,15.6 inch,new,8520000
https://api.torob.com/v4/base-product/details-log-click/?prk=01b94b2d-7025-4d2f-8dc8-596493e9524d,Core i5,16 gb,,1 tb,4 gb,15.6 inch,new,34890000
https://api.torob.com/v4/base-product/details-log-click/?prk=4d0c5006-ae8a-4de6-86f2-bc061fe8aca8,Core i9,16 gb,,1 tb,8 gb,16 inch,new,109540000
https://api.torob.com/v4/base-product/details-log-click/?prk=357627b8-a9db-4d60-bf00-1c100b39731a,Core i7,16 gb,,1 tb,8 gb,15.6 inch,new,59479000
https://api.torob.com/v4/base-product/details-log-click/?prk=81982b21-bb78-40d4-9e9a-0dc89968f62f,Celeron,4 gb,,512 gb,unified,15.6 inch,new,12049000
https://api.torob.com/v4/base-product/details-log-click/?prk=2968dd2f-dc86-4dbe-9f97-0564b8bd035b,,,,,,,stock,5450000
https://api.torob.com/v4/base-product/details-log-click/?prk=abb42334-bc2a-476d-885b-63130a7bad8a,Core i5,8 gb,,512 gb,2 gb,15.6 inch,new,29496000
https://api.torob.com/v4/base-product/details-log-click/?prk=c7fa42f6-454c-4512-b45a-9496ae12cd06,M2,16 gb,,512 gb,unified,16 inch,new,100470000
https://api.torob.com/v4/base-product/details-log-click/?prk=29c10903-7d46-401e-afdd-81a54d0d77bc,M1,8 gb,,256 gb,unified,13 inch,new,58950000
https://api.torob.com/v4/base-product/details-log-click/?prk=e6a90a63-bd19-4d36-a3f0-64f0d130de20,Core i7,16 gb,1 tb,1 tb,2 gb,15.6 inch,new,29100000
https://api.torob.com/v4/base-product/details-log-click/?prk=82c85be3-205e-4601-9262-f155603b5fbb,Core i9,16 gb,,1 tb,8 gb,15.6 inch,new,94500000
https://api.torob.com/v4/base-product/details-log-click/?prk=f4a76bbe-9453-4737-8552-ccb82cf7b854,Core i5,12 gb,1 tb,256 gb,2 gb,15.6 inch,new,23400000
https://api.torob.com/v4/base-product/details-log-click/?prk=457976d0-c00e-4767-a5d8-2bd98a417ab5,Core i7,16 gb,,1 tb,4 gb,15.6 inch,new,48800000
https://api.torob.com/v4/base-product/details-log-click/?prk=279b02ef-8ed6-4ccd-accc-d7d8a268922b,Core i3,4 gb,1 tb,,unified,14 inch,new,16880000
https://api.torob.com/v4/base-product/details-log-click/?prk=2e823306-a32b-4ffa-9fc7-2f9681eb0f41,Core i5,8 gb,,512 gb,2 gb,15.6 inch,new,21788000
https://api.torob.com/v4/base-product/details-log-click/?prk=1bc99e75-8448-4c20-b42a-fae1e065b632,Core i3,12 gb,1 tb,512 gb,unified,15.6 inch,new,16593000
https://api.torob.com/v4/base-product/details-log-click/?prk=525faf27-2d7c-4b91-a423-428e3e731c63,Core i5,8 gb,1 tb,256 gb,2 gb,15.6 inch,new,21300000
https://api.torob.com/v4/base-product/details-log-click/?prk=0b3a180b-0f9e-48d5-b281-082d09bc851e,Core i7,8 gb,,256 gb,2 gb,15.6 inch,stock,12800000
https://api.torob.com/v4/base-product/details-log-click/?prk=cb2a16d8-29b8-4079-bcc0-cc7ab49ed797,Core i7,16 gb,,512 gb,4 gb,15.6 inch,new,37344000
https://api.torob.com/v4/base-product/details-log-click/?prk=800e8e41-9482-4946-b46e-d835838f6fe3,Core i7,8 gb,1 tb,,2 gb,15.6 inch,new,26150000
https://api.torob.com/v4/base-product/details-log-click/?prk=515f12a3-2511-4c71-af4a-f3399b7cd43e,Core i5,12 gb,1 tb,,2 gb,15.6 inch,new,22000000
https://api.torob.com/v4/base-product/details-log-click/?prk=19f764dc-54cf-4b5d-bd23-e62539cf749f,Core i5,4 gb,,64 gb,unified,12.4 inch,new,17400000
https://api.torob.com/v4/base-product/details-log-click/?prk=4cb12ddf-f445-4f4b-96bd-b7fcb2e047d6,Core i7,8 gb,,512 gb,2 gb,15.6 inch,new,26200000
https://api.torob.com/v4/base-product/details-log-click/?prk=19e882ef-aede-407f-b694-ae0a6caa076b,Core i7,16 gb,,1 tb,8 gb,15.6 inch,new,78499000
https://api.torob.com/v4/base-product/details-log-click/?prk=6a4a8eed-4dfa-4e30-9374-cf5d9a612c16,Core i7,16 gb,,1 tb,,13.4 inch,new,42700000
https://api.torob.com/v4/base-product/details-log-click/?prk=19247275-0f7d-4bc7-9889-3f0af298e6c6,M1,16 gb,,1 tb,unified,16 inch,new,100000000
https://api.torob.com/v4/base-product/details-log-click/?prk=978cf1fa-a1f5-4582-ae3c-9e48f234f125,Core i7,16 gb,,512 gb,4 gb,15.6 inch,stock,18900000
https://api.torob.com/v4/base-product/details-log-click/?prk=538af820-f76f-4853-ba66-ccce2ae42511,Core i5,8 gb,,256 gb,unified,14 inch,stock,9800000
https://api.torob.com/v4/base-product/details-log-click/?prk=57430251-bbd9-4291-9b9a-5a4737d0d912,Core i3,4 gb,,256 gb,unified,15.6 inch,new,14479000
